Velocity_m_s,CL_required,CD,ThrustRequired_N,ThrustAvailable_N,ExcessThrust_N,ExcessPower_W,RateOfClimb_m_s,RateOfClimb_ft_min
20,3.02343159486017,0.436351237395941,1731.87806122449,1800,68.1219387755102,1362.4387755102,0.11353656462585,22.3496727465986
21,2.74234158263961,0.363419681014344,1590.26001712539,1800,209.739982874612,4404.53964036686,0.367044970030572,72.2528023505181
22,2.4987037974051,0.305958430022499,1469.36230059875,1800,330.637699401248,7274.02938682747,0.606169115568956,119.324390399749
23,2.28614865395854,0.26019140505984,1365.74533563761,1800,434.254664362389,9987.85728033495,0.832321440027913,163.842475469495
24,2.09960527420845,0.223375403836777,1276.67084807256,1800,523.329151927438,12559.8996462585,1.04665830385488,206.034687113832
25,1.93499622071051,0.193489466837377,1199.93702168367,1800,600.062978316327,15001.5744579082,1.25013120482568,246.088327669935
26,1.78901277802377,0.169025502396954,1133.75715013283,1800,666.242849867166,17322.3140965463,1.44352617471219,284.158127492095
27,1.65894737715235,0.14884478800723,1076.66914616227,1800,723.330853837729,19529.9330536187,1.62749442113489,320.372276800403
28,1.54256714023478,0.132078102195945,1027.46725572678,1800,772.53274427322,21630.9168396501,1.80257640330418,354.837164990428
29,1.43801740540317,0.118055232620911,985.149961417712,1800,814.850038582288,23630.6511188863,1.96922092657386,387.641139396065
30,1.34374737549341,0.106254565411544,948.87983276644,1800,851.12016723356,25533.6050170068,2.1278004180839,418.857512299816
31,1.2584522767368,0.0962665959770818,917.952291937873,1800,882.047708062127,27343.4789499259,2.27862324582716,448.546985941077
32,1.18102796674225,0.0877672176202303,891.771102040816,1800,908.228897959184,29063.3247346939,2.42194372789116,476.759622835374
33,1.11053502106893,0.0804979614859258,869.828973877223,1800,930.171026122777,30695.6438620516,2.55797032183764,503.536457853739
34,1.04617010202774,0.0742512347069529,851.692105094979,1800,948.307894905021,32242.4684267707,2.68687236889756,528.910825817485
35,0.987242969750258,0.0688591906594589,836.98776616514,1800,963.01223383486,33705.4281842201,2.80878568201834,552.909461505311
36,0.933157899648199,0.0641852649554128,825.394265810028,1800,974.605734189972,35085.806430839,2.92381720256992,575.553416325888
37,0.88339856679625,0.0601176862517951,816.632788569975,1800,983.367211430025,36384.5868229109,3.03204890190924,596.858826340835
38,0.837515677246583,0.0565644629335212,810.460715713155,1800,989.539284286845,37602.4928029001,3.13354106690834,616.837559020907
39,0.795116790232785,0.0534494819549539,806.666129225704,1800,993.333870774296,38740.0209601975,3.22833508001646,635.49776050124
40,0.755857898715041,0.0507094523372463,805.063265306123,1800,994.936734693877,39797.4693877551,3.31645578231293,652.844320748299
41,0.719436429472972,0.0482914949223768,805.488734415405,1800,994.511265584595,40774.9618889684,3.39791349074737,668.879270653619
42,0.685585395659902,0.0461512300633965,807.798363656347,1800,992.201636343653,41672.4687264334,3.47270572720279,683.602122399868
43,0.654068489964341,0.0442512515303905,811.864547080744,1800,988.135452919256,42489.824475528,3.540818706294,697.010162333974
44,0.624675949351274,0.0425599018764062,817.574012649688,1800,982.425987350312,43226.7434434137,3.60222862028448,709.098703902999
45,0.597221055774848,0.0410502845257371,824.825932618418,1800,975.174067381582,43882.8330321712,3.65690275268093,719.861306865242
46,0.571537163489634,0.03969946281624,833.530318284403,1800,966.469681715597,44457.6053589175,3.70480044657646,729.289967908575
47,0.547475164302429,0.0384878074987587,843.606651223312,1800,956.393348776688,44950.4873925043,3.74587394937536,737.37528693454
48,0.524901318552112,0.0373984627397986,854.982712018141,1800,945.017287981859,45360.8298231293,3.78006915192744,744.106612556916
49,0.503695392729724,0.0364169071895718,867.593574574051,1800,932.406425425949,45687.9148458715,3.80732623715596,749.472169784151
50,0.483749055177627,0.0355305916773361,881.380739795918,1800,918.619260204082,45930.9630102041,3.82758025085034,753.459172379889
51,0.464964489790106,0.0347286389544598,896.291386986657,1800,903.708613013343,46089.1392636805,3.84076160530671,756.053922004625
52,0.447253194505942,0.0340015938998096,912.277725033209,1800,887.722274966791,46161.5582982732,3.8467965248561,757.241895917923
53,0.43053493696834,0.033341214937765,929.296428462903,1800,870.703571537097,46147.2892914661,3.84560744095551,757.007824752092
54,0.414736844288089,0.0327402992504519,947.308145915568,1800,852.691854084432,46045.3601205593,3.83711334337994,755.335761644342
55,0.399792607584815,0.032192535808576,966.2770705958,1800,833.7229294042,45854.761117231,3.82123009310258,752.209143827243
56,0.385641785058695,0.0316923813872465,986.170563931695,1800,813.829436068305,45574.4484198251,3.79787070165209,747.610847620214
57,0.37222918988737,0.0312349556411894,1006.95882503918,1800,793.04117496082,45203.3469727667,3.76694558106389,741.523237632428
58,0.359504351350793,0.0308159520388069,1028.61459972943,1800,771.385400270572,44740.3532156932,3.72836276797443,733.928210875767
59,0.347421039340438,0.0304315620359376,1051.11292374384,1800,748.887076256163,44184.3374991136,3.68202812492613,724.80723639171
60,0.335936843873352,0.0300784103382215,1074.43089569161,1800,725.56910430839,43534.1462585034,3.62784552154195,714.141390915533
61,0.325012802457422,0.0297534994792552,1098.54747582701,1800,701.452524172992,42788.6039745525,3.56571699787938,701.911391032555
62,0.3146130691842,0.0294541622485676,1123.44330735947,1800,676.556692640532,41946.514943713,3.49554291197608,688.097622222491
63,0.30470462029329,0.0291780207532635,1149.10055745838,1800,650.899442541623,41006.6648801223,3.41722207334352,672.680165137672
64,0.295256991685563,0.0289229511012644,1175.5027755102,1800,624.497224489796,39967.8223673469,3.33065186394558,655.638819417687
65,0.286242044483803,0.028687052861362,1202.63476652125,1800,597.365233478746,38828.7401761185,3.23572834800988,636.953125305744
66,0.277633755267233,0.0284686225928704,1230.48247784431,1800,569.517522155694,37588.1564622758,3.13234637185632,616.602383299916
67,0.269408028056152,0.0282661308511497,1259.03289765032,1800,540.967102349678,36244.7958574284,3.0203996547857,594.565672044565
68,0.261542525506935,0.0280782021691846,1288.27396377374,1800,511.726036226255,34797.3704633854,2.89978087194878,570.821864643117
69,0.254016517106504,0.0279035975933314,1318.19448173751,1800,481.805518262488,33244.5807601116,2.7703817300093,545.349643552331
70,0.246810742437565,0.0277411994162162,1348.78405091628,1800,451.215949083715,31585.1164358601,2.63209303632167,518.127514199921
71,0.239907287828619,0.0275899978038978,1380.03299792745,1800,419.967002072546,29817.6571471508,2.48480476226256,489.133817451386
72,0.23328947491205,0.0274490790597133,1411.93231645251,1800,388.067683547493,27940.8732154195,2.32840610128496,458.346741037944
73,0.226941759794345,0.0273176153052349,1444.47361278895,1800,355.526387211053,25953.4262664069,2.16278552220057,425.744330045183
74,0.220849641699063,0.0271948553907372,1477.64905651749,1800,322.350943482506,23853.9698177054,1.98783081814212,391.304496551276
75,0.214999580078945,0.0270801168745355,1511.45133574263,1800,288.548664257369,21641.1498193027,1.80342915160856,355.005028494145
76,0.209378919311646,0.0269727789333451,1545.87361642829,1800,254.126383571711,19313.60515145,1.60946709595417,316.823597838578
77,0.203975820196334,0.0268722760851145,1580.90950540602,1800,219.090494593979,16869.9680837364,1.4058306736447,276.737768106959
78,0.198779197558196,0.0267780926221846,1616.55301668143,1800,183.446983318574,14308.8646988488,1.19240539157073,234.725001330698
79,0.193778663346269,0.026689757666572,1652.79854070699,1800,147.201459293015,11628.9152841481,0.969076273679012,190.762664473714
80,0.18896447467876,0.0266068407710779,1689.64081632653,1800,110.359183673469,8828.73469387752,0.73572789115646,144.828035374149
81,0.184327486350262,0.0265289480000893,1727.07490512914,1800,72.9250948708586,5906.93268453955,0.492244390378296,96.8983082459675
82,0.179859107368243,0.0264557184326486,1765.09616797885,1800,34.9038320211482,2862.11422573415,0.238509518811179,46.9505987779807
83,0.17555126113283,0.0263868210378397,1803.70024351173,1800,-3.70024351172856,-307.12021147347,-0.0255933509561225,-5.03805113571272
84,0.171396348914975,0.0263219518789623,1842.88302841409,1800,-42.883028414087,-3602.17438678331,-0.300181198898609,-59.0906690031912
85,0.167387216324438,0.026260831608498,1882.6406593152,1800,-82.6406593151967,-7024.45604179172,-0.585371336815976,-115.230347652225
86,0.163517122491085,0.0262032032206494,1922.96949614519,1800,-122.969496145186,-10575.376668486,-0.8812813890405,-173.480241432622
87,0.159779711711463,0.0261488300323569,1963.86610682419,1800,-163.866106824191,-14256.3512937046,-1.18802927447538,-233.863562680479
88,0.156168987337818,0.0260974938672754,2005.32725316242,1800,-205.327253162422,-18068.7982782932,-1.50573318985777,-296.403578423501
89,0.152679287709136,0.0260489934202916,2047.34987786293,1800,-247.349877862934,-22014.1391298011,-1.83451159415009,-361.123607308445
90,0.149305263943712,0.0260031427828586,2089.9310925296,1800,-289.931092529604,-26093.7983276644,-2.17448319397203,-428.047016733395
91,0.146041859430512,0.0259597701117665,2133.06816659248,1800,-333.068166592477,-30309.2031599154,-2.52576692999295,-497.197220169112
92,0.142884290872409,0.025918716426015,2176.7585170711,1800,-376.758517071101,-34661.7835705413,-2.88848196421177,-568.597674655088
93,0.139828030748534,0.0258798345182356,2220.99969910421,1800,-420.999699104209,-39152.9720166914,-3.26274766805762,-642.271878457142
94,0.136868791075607,0.0258429879686724,2265.78939718083,1800,-465.789397180828,-43784.2033349978,-3.64868361124982,-718.243368874526
95,0.134002508359453,0.0258080502510981,2311.1254170141,1800,-511.125417014105,-48556.9146163399,-4.04640955136166,-796.535720185543
96,0.131225329638028,0.0257749039212374,2357.00567800454,1800,-557.005678004535,-53472.5450884354,-4.45604542403628,-877.172541721542
97,0.128533599526418,0.0257434398793248,2403.42820624427,1800,-603.428206244266,-58532.5360056938,-4.87771133380782,-960.177476060069
98,0.125923848182431,0.0257135566993482,2450.39112801851,1800,-650.391128018513,-63738.3305458143,-5.31152754548452,-1045.57419732863
99,0.12339278011877,0.0256851600183448,2497.89266376414,1800,-697.892663764136,-69091.3737126495,-5.75761447605412,-1133.38640961125
100,0.120937263794407,0.0256581619798335,2545.93112244898,1800,-745.93112244898,-74593.112244898,-6.21609268707483,-1223.63784545068
